id, owner, vaultDebt, vaultCollateral 
52, 0x245c2a4a71cc20E4cf48eE0c553759c2d5De9599, 1567.171829359442, 2.2541356370645045
53, 0x4fE8B243D5A4D478CF0563113013ABE3dd36400B, 54681.53030649819, 69.93279384152943
54, 0x7a57fA6B29796c4F329171FbC771FD941aD434A1, 800, 1.1894964643004868
55, 0xc2d5904602e2d76D3D04EC28A5A1c52E136C4475, 1615.9374144325477, 3.727831151605241
56, 0xDeE45f774FA311199c5900e7C99A609E27EdCd4E, 0, 0
57, 0x9eF0EC7d2CDbB66bCfbD2D5BD41229bF71D69444, 0, 0
58, 0xc71ae2D354Ab164D5086010A396287Ee370EfaB2, 70, 0.13564712281630936
59, 0x9A37C9Dc1c8498f94a31b033b8D55a52B8931B76, 0, 0
60, 0x6302c2905ab8217dd44489950d9837A345414EFA, 1626.402967640183, 2.2761974155447597
61, 0xA93093fc1D0343298966E1F971fAE10a7a629296, 0, 0
62, 0x9FBb1Fb5a741EB9A7cA45f31FaC29D7379907E86, 0, 0
63, 0x5D8609A0b590DD0F0C8Ede679107E4b0a69e8a20, 0, 0
64, 0x3B9Aa68e59FDc640546f2b9A268e228f7E16D835, 0, 0
65, 0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42, 0, 0
66, 0xFAB2ef22dd7c1DEd1bd9Aa8E6082Adad876Dfa7E, 0, 0.009416488567842104
67, 0x0cA6CAdb6a8cA4199788b9a060C3285Fe7B897Fd, 0, 0
68, 0xcF04f3CB862cd00CdAaaeD3738977A4AF84688fB, 30000.400431939805, 45.47033463573204
69, 0xf3e98aDd79199BfB57322D8802D841f5c5f2fBC0, 759.5900828968246, 1.368187952919829
71, 0x53e213da8C28d85dc6663c3b5e35Bb0ffBb05752, 2500, 3.3282170060399996
72, 0x9Da7AD984749c630796251E160B9EED0F35aDfFA, 0, 0
73, 0xc5dA52454d1044DA01a0f10fDbdf96A2d6aEB1CA, 1983.4537192645896, 2.5075111531372594
74, 0xc5dA52454d1044DA01a0f10fDbdf96A2d6aEB1CA, 0, 0
75, 0xfC6dE95C9b05e88fC1C645cD5f567E789Dcfb614, 0, 0
76, 0x7E6D2EE06d242576eE6fcf3BdcDBECceF93852A1, 600, 1.08
77, 0x3cA99a967825891e2Ae4F5F05367AD7fA83f22a9, 1081.4721818302078, 1.7834997384841484
78, 0x8Fa2A5BAfA13E4004b6676bC6842687B208F34C5, 120, 0.18546128739957493
79, 0x282fa2F87Be3B9eabE67F3E3366618883e3BECbC, 0, 0
80, 0x0a3043F9d2b1c6cCfc492EB59Af5156F378c57BD, 43500, 50
81, 0x71Eaef1bF66045E9dE366088332A3BF95001B9F9, 43200, 52.47001615294279
82, 0xb1028c2d61337589e515d6BdB949ed97935518b2, 46805.561839734444, 53
83, 0x21FBAe57aF1025f0665CE9782396C8205D60F211, 0, 0
84, 0x8A5d69261DF9E469EaF559225d19179a733a645c, 0, 0
85, 0xA39bA2CD8658D0B69bA1880dcfBB65216ab33056, 7190.2013558693525, 8.842287994831965
86, 0xab59925Ff1dc46f6e297c84AA33216E017A0fA36, 1802.918038140227, 2.070699905802795
87, 0x8a146531630850fE1d158c922bDA620BDDF12766, 1682.2409617195497, 2.631069190161326
88, 0x9aA925ac991311Cf5b43BD659E57Ac8117916324, 143.4429621517198, 0.2544935307628109
89, 0x6A927143f45b2385C778a0fA0C23AC07E4Da1cee, 1000, 1.1834969186961746
90, 0xEB70317f4393c480b5a981E2e7a3E98B1DF60567, 697.2082239474718, 1.398267251358144
91, 0x4742B30f35035c666C5cbA2E8670052B179e0404, 292.5, 0.5588048378954777
92, 0xce0ed27a22F5f34F110285C655D080B397a23BDc, 730, 1.3104068501093031
93, 0xe4FB44562BF4c7fc0CA8EC0b15b561E799EAF0C6, 1000, 1.808726986574491
94, 0x72414F427474CBfB4416440CA84f24828d69F99C, 2000, 4.43084117492891
95, 0xf4A2f32BefE6eBE65bc2696969cD1C1A34E0f92C, 51023.058386506644, 181.83843257911636
96, 0xA75c7b8Ca1FB70A0D494254A37be8aEF86919aE4, 0, 0.49176878794578294
97, 0x6d96f02af1b8701E831A05AB273B75C6E2F02D1d, 500, 0.8024327322795564
98, 0x0dd7FE601593947f54d084F1Fd2892064044E6D8, 6606.6410093314935, 7.649422755077897
99, 0x0dd7FE601593947f54d084F1Fd2892064044E6D8, 0, 0
100, 0x6Ad853CD2725B905e68a71Eb280358272Ca09031, 0, 0
101, 0x9c1E062720f5eF26Bd7814B6f67c9Dca61321fC9, 0, 0
102, 0x5b356d59ea36eF660173970aa97f76213BA46260, 0, 0
103, 0x160F1AB6e10E231Cc89BA023006eabf20ffAdD68, 0, 0
104, 0x60fbA3B1d069E1317D2B4B718739e280FBAd9896, 2195.9394138054504, 3.675433671402853
105, 0x2006453e0C050649Ff9A889f8F210585D98379FE, 1069.8316818922247, 4.377360050549227
106, 0x4834a00DC7e4e039Ed27DDCe0e257234171416FA, 6704.272828721977, 9.906651486395097
107, 0x18829e507e072aF3697eD1A33a6d8D53a86f11a9, 35719.65774327549, 69.69263374497942
108, 0x9824697F7c12CAbAda9b57842060931c48dEA969, 99999.99999999999, 169.0103979242082
109, 0xF07FcF8EBecAE2cc001607Ea542c36a4F3da68BC, 26000, 31.49916155084897
110, 0xf98f8c1D75b23982ACeD2EA2ACA781d75f946B1D, 500, 0.7380647744160858
111, 0xAC82362174A32fBBAd61Efcb0f02b9016B20C768, 3335.0000000000005, 3.8019666750017436
112, 0x655301eB3992fA35fF6fec91567240310a9756A6, 6357.594921214146, 12.708214384320351
113, 0x33F96725E77809A0134A828Ea67CAf14e8B4A9E6, 21955.847111047053, 38.670640510906075
114, 0x97B342386B4291d22F5BF573715BDC23D38B173F, 0, 0
115, 0x97B342386B4291d22F5BF573715BDC23D38B173F, 10000, 27.404560770176587
116, 0x97B342386B4291d22F5BF573715BDC23D38B173F, 0, 0
117, 0x09Fa38EBa245bb68354B8950FA2fe71f02863393, 300, 0.5449572620700409
118, 0x97B342386B4291d22F5BF573715BDC23D38B173F, 0, 0
119, 0xE3D69bCab5dAAea39787eEaf4c0369de366d71BD, 2440, 51.13072054304367
120, 0xcC5c9De5D6463878Ccd8ae3AFCE6a6bEa58156EC, 74.77679108177055, 0.11354266083479903
121, 0xB686fB874b85D9e84026244a9AcD28896BFbB84c, 0, 8.771858154e-9
122, 0xEbc8E02199c017deB5bE8875d7C4a38f33F15Dc1, 0, 0
123, 0x9A43E2d3f7D28f0BB8A6B5952dC563AB51B8cb55, 1600, 2.113837866613949
124, 0xbCe50bEBbC3F846Ac17Dfc722F790f56FCf2EdEd, 0, 0
125, 0x0Ba99D975e0d95222361dEF60083Fa8f522A1541, 499.66528132745384, 0.7885870886230747
126, 0xd2A690ACc2bE2385b23785E5cEB0670bA7abd4c1, 0, 0
127, 0x592e1E16016C25651513591B7eBed5ca803ad39e, 0, 0
128, 0x592e1E16016C25651513591B7eBed5ca803ad39e, 3500, 6.993806782040587
129, 0x8d309dE16A745C15FfA00A46dA4EB3E044c54d63, 1000000, 1530.752467961836
130, 0x07759bFB542723b5a89c5A927720bb8c299cd206, 38.76172402281106, 0.06886044846385464
131, 0x17E55DEB480e04B10C60eDB13a2580C8f0db1428, 0, 0
132, 0xf38574926d08797F315AF08Bed7b619532CE92BA, 60, 0.13928342330388008
133, 0x62718e971Dd5267c309a813A276A465C3132590d, 0, 0
134, 0xa6f4FB960Edb9b65C0fee56f8bc5B97946d57140, 0, 0
135, 0x2b72051F378Bff38c63C286f4B5031a238C132cb, 0, 0
136, 0x46828069133fAd0d8925E3CB2f9118597703EF13, 137, 0.19056686055292468
137, 0x48b4877723187D692b8a496760BCF80CE5a7FAdC, 0, 0
138, 0xF0313587C6AfF369B83d3449cF0F22b05506d991, 0, 3.73397e-13
139, 0x289Ae0A09f4DF375f54EC553424FaA9f2b76DeE5, 388.08, 0.8609351302186867
140, 0xd21cA810372d54d5ae63F3fB0fd1B9B036826d75, 804, 1.1742621429575335
141, 0x665BAAE61e110d950c5574E4fFd91a6D2893AF91, 0, 0
142, 0x665BAAE61e110d950c5574E4fFd91a6D2893AF91, 7.83, 0.01088862305928972
143, 0xF5E7bca45f6881028BbA8DcA7C5254cF36ec0F65, 0, 0
144, 0x0B1Cd3a79016c4EaDBBBE96f0D184a9Db6E852c7, 32, 0.04559117421249951
145, 0x98E70e600E3d69E152cBD73eA13c4C063f1c7757, 0, 0
146, 0xb4c01692548Fe2BAE391C90e6888e56ed5c920c2, 334.71046361839024, 0.5645239640798759
147, 0xc48309334a5Ae8A595Ef745B5596Eb3a6A8bDBEA, 174.21818803893066, 0.3239525207923921
148, 0x78bfA2a0241804733c58091d431b5a840D9D6F73, 0, 0
149, 0x46828069133fAd0d8925E3CB2f9118597703EF13, 0, 0
150, 0xc03876Ddf9fBDc47AE66Bc4c7A639f0D78d90904, 4963.955620061009, 6.215175081974956
151, 0x90075d5d06A279D47d4Ec08d1f81C3c843256415, 208.63730010402472, 0.39869960439494206
152, 0x6c052a18D2C2d3f585d915A2E84F577bCfcb46a7, 1262.9760840253261, 3.5947631354923817
153, 0x462E5fb06AC9C3A0113F8aE079B06cC8661deD6B, 0, 0
154, 0xEae9FED78B7e616b8A9802ab50a4467fC9570341, 935, 1.9296781043050037
155, 0xEae9FED78B7e616b8A9802ab50a4467fC9570341, 0, 0
156, 0x891bC2428c09BDdF096493F5210585aD26D0533D, 0, 0
157, 0x3CC064963949BD348437a25B7AE799e47B8c7F07, 0, 1.65914044015e-7
158, 0xB08A8a12E9B08FB299A1653B40375F6eC3EF53b8, 80000, 367.01100896972827
159, 0xeB7dFf2aeFa350c2B96509053f3376bC1e4Eb887, 0, 0
160, 0xeB7dFf2aeFa350c2B96509053f3376bC1e4Eb887, 896.7975176673807, 1.4691127138549147
161, 0x0d23B6aC4e64dd1324C5E18A1aea993eF6CC885A, 37, 0.07545841411778266
162, 0x0d23B6aC4e64dd1324C5E18A1aea993eF6CC885A, 0, 0
163, 0x6c82392d5205055D1b878692A11994ce8887c483, 0, 0
164, 0x0f740Cf9cDD7Ef88caa4a69796c9713b992ecc8A, 1050, 1.7086584735216686
165, 0x8AA0AA4b71b1Beb4FaFae7FC601B9e092eDaf456, 0, 0
166, 0x5330D616c96118E6fc5290475B8eA377CfFB66B4, 56.4, 0.08330592146127372
167, 0x57Fbf388a5EBe5c52B6DBC996c84e525A67fa104, 1820, 2.575380272156468
168, 0xaAAC333b4CEa048aF99F6C63F868799B2a58e1bA, 20, 0.041556837907205
169, 0x62DA14Cd86406e96c331668919B6819A81871913, 0, 0
170, 0x62DA14Cd86406e96c331668919B6819A81871913, 0, 0
171, 0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df, 9607.620077594655, 19.869303455056613
172, 0xCA369FF30b95b58C581Df4CCF5fd555b947e2017, 0, 0
173, 0xA0CF1f745B73fd57B6Ae563a81C7a674036905d3, 0, 0
174, 0x28b931Db129d9b79550A3Dc1b9147a03217E5ed6, 0.00039489404577, 0.000009163504874674
175, 0x643581d56424B4e9D5467fE138AA5206CF660BcA, 171.444, 0.29542335898347566
176, 0x9B88ce07bd6C3D83126b12567c028040E8F74402, 69.97, 0.11307589871806505
177, 0x91E0A8b5C16E80beeb4E41f8E5b218871d46B567, 520.7322542432512, 0.8
178, 0xa768b6A093198Aab126F199AE9bcb234DDB62326, 0, 5e-18
179, 0xA9451881ddD397192704AB7911a9f76996f3C3e1, 0, 1.2377996499e-8
180, 0xd2A690ACc2bE2385b23785E5cEB0670bA7abd4c1, 0, 0
181, 0xd2A690ACc2bE2385b23785E5cEB0670bA7abd4c1, 0, 0
182, 0x3B7b20e8312C0F104A5615c968B530327aB727f8, 0, 0
183, 0xceA3b38BA474A92202611547615b749212f50967, 0, 0
184, 0xAE1692D8D045716c948B707550e91DBd2C55169A, 0, 0
185, 0x9221005300bBc55FAdf95ab83EA6e8c19e1D340F, 0, 0
186, 0x9703F3922CC2EcA1173853c14B9B5A02496205de, 0, 0
187, 0x4bf1C916aF61e931D638151C45dEBC90aAf1B2a3, 586.0409531384762, 1.1325073361310576
188, 0xab104EEA31E033f2359A43cB32901Dd6D18D105F, 155.55817127965008, 0.33388872319996077
189, 0xab104EEA31E033f2359A43cB32901Dd6D18D105F, 0, 0
190, 0xebbB837A88E63bAF012a8Df8ffaA8e97b4603364, 285, 0.3396114648879144
191, 0xd34bc82B9092f5334056daC1aF8cd5d32aBc6802, 71.4818816664229, 0.09654516652273984
192, 0x6bF8dF9C7796cf205BE35547083E673511eD1EcB, 135, 0.2207802290115845
193, 0xa9221d1Ca3914c04b497A28E36Fe29Be7D4D1350, 0, 0
194, 0x5F5FE043Fdad2526c099f265c8EFD1BAF245b090, 686.884816157289, 0.9765546332174397
195, 0x8e14bb82B895bf8939C2ADDB34aDDA67A94f68f7, 0, 0
196, 0x6D44a706E42f5Ba9a213726e79b0c99e4117666A, 1000, 1.2118096130596832
197, 0x2BF9c56574c3e97dcCAD154C11Dac6bCEd26c085, 156.79130591268202, 0.21087804030247506
198, 0xD7B5D4C086003EE53C82990bC87b306133a6A0a3, 0, 2.6140405471322827
199, 0x4eb1F2FCbBb534696e1f7F6082b6AD549e0281B5, 0, 0
200, 0x4eb1F2FCbBb534696e1f7F6082b6AD549e0281B5, 0, 0
